x1,x2,x3,x4,y
0.8429750356,0.5464676332,0.3779278399,0.144390997,C
0.4386408141,0.918538244,0.4701434821,0.6247811798,A
0.732292721,0.5092932955,0.718843437,0.812311894,B
0.3894334345,0.791454175,0.803731641,0.8863806887,C
0.9770652555,0.5083746169,0.2756750068,0.3849167551,C
0.172030312,0.9468231354,0.955401083,0.6325543689,C
0.423064881,0.9998569345,0.4100303027,0.8075043951,C
0.5461690093,0.4680504842,0.862617263,0.001328444015,B
0.7450612799,0.9496645169,0.1792553168,0.707851785,B
0.9481495751,0.3313765643,0.745779149,0.759045142,C
0.1675440761,0.2669911802,0.09890887474,0.3935916119,C
0.6203588252,0.0002255125744,0.3822488129,0.5284079367,A
0.09792290424,0.6325252662,0.7576459268,0.3562825719,A
0.4628980746,0.9549969482,0.01837516975,0.3213819554,B
0.8844412429,0.0006990864142,0.405512901,0.9336094272,C
0.7154259916,0.9673170805,0.8935447034,0.956672408,B
0.316270821,0.3048452858,0.8126421204,0.5905561982,B
0.5192115649,0.08998539351,0.3461297087,0.009241243818,C
0.6016809085,0.2104458389,0.6040423035,0.8010446626,B
0.01808358562,0.2820236002,0.184633803,0.4687906279,C
0.72480841,0.633931325,0.5631279834,0.5451800162,A
0.3982853398,0.1944223143,0.71667256,0.9599119028,C
0.7035208104,0.2401132707,0.7854435576,0.3637780292,B
0.8101394282,0.4815866251,0.01512337852,0.586365131,A
0.08942636411,0.1458163609,0.1064758468,0.9392721714,A
0.5809682347,0.6044222259,0.5993991025,0.5465371451,C
0.3836245289,0.5642548157,0.5533964764,0.5865467219,A
0.3440980531,0.1849252942,0.3580434547,0.1704721104,C
0.03381273089,0.425924223,0.1380377216,0.4529715282,A
0.4513166369,0.743612662,0.8275309741,0.9480462225,A
0.553506702,0.9871415603,0.6535177639,0.8363080884,A
0.2873021957,0.9878476656,0.6652260385,0.153064027,C
0.6141490028,0.7948676425,0.1239494904,0.8527232317,C
0.298866647,0.5619041935,0.5589855984,0.4726080544,C
0.8356540101,0.9022226467,0.627975485,0.823517941,C
0.8270516476,0.3624096164,0.8520721083,0.4813208307,C
0.3984800002,0.03741240774,0.6429769332,0.6251139084,B
0.2770040384,0.6626883343,0.7331991012,0.1660092039,C
0.5567579389,0.2120060236,0.1863404373,0.8672204447,C
0.07308270627,0.5766871995,0.05410551245,0.01973176194,A
0.01160379828,0.5331492593,0.5398896888,0.9619384951,B
0.9718811514,0.9809205419,0.2506180568,0.45217947,A
0.8488775094,0.3569985472,0.4883839168,0.8329791217,B
0.09398613353,0.2576734473,0.7204073722,0.573633976,A
0.1268350115,0.3141725212,0.8658580383,0.4284382561,C
0.8896506942,0.9341162063,0.5673951675,0.4251579005,B
0.06498373748,0.6572271673,0.945663696,0.1600612474,C
0.7805878599,0.9827063501,0.2779706062,0.7731305001,A
0.3127538142,0.158072261,0.3206243851,0.5421577041,B
0.4793564815,0.6841071697,0.5198947923,0.9401131477,C
0.7202198511,0.830995698,0.4661234265,0.3679208104,C
0.742010969,0.2037797191,0.4262090036,0.2877549191,B
